Handle,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price
holiday-white-gemstone-bobby-pins,Title,Default Title,,,,,503721,8,
holiday-white-rhinestone-cloud-cuff-medium,Title,Default Title,,,,,504629,10,
humidity-blocking-frizz-shield-spray,Title,Default Title,,,,,505992,26,
hydrangea-breeze-cloud-claw-clip-medium,Title,Default Title,,,,,68912No ColorOS,8,
hydrangea-breeze-flat-cloud-clip-medium,Title,Default Title,,,,,69025No ColorOS,9,
ice-roller,Title,Default Title,,,,,5447NCOS,21,
jojoba-bead-exfoliating-body-wash-bar,Title,Default Title,,,,,504667,14,
jumbo-classic-claw-clips-2pc,Title,Default Title,,,,,6578NCOS,12,
king-pillowcase-aura,Title,Default Title,,,,,60787NCOS,36,
king-pillowcase-blush,Title,Default Title,,,,,4789NCOS,36,
king-pillowcase-ivory,Title,Default Title,,,,,4772NCOS,36,
king-pillowcase-leopard,Title,Default Title,,,,,5236NCOS,36,
king-satin-pillowcase-haze-blue,Title,Default Title,,,,,65164No ColorOS,36,
king-satin-pillowcase-silver,Title,Default Title,,,,,65836No ColorOS,36,
kitsch-amber-shores-hair-perfume-20-ml,Title,Default Title,,,,,512976,10,
kitsch-beachy-gelato-hair-perfume,Title,Default Title,,,,,509693,20,
kitsch-compact-mirror-keychain-terracotta,Title,Default Title,,,,,507583,22,
kitsch-hair-volumizing-clip-2pc-set-terracotta,Title,Default Title,,,,,507811,8,
kitsch-large-thermal-round-brush-haze-blue,Title,Default Title,,,,,504285,49.99,
kitsch-luxe-shower-cap-blush-dot,Title,Default Title,,,,,0842NCOS,29,
kitsch-pro-no-snag-mini-gummy-elastic,Title,Default Title,,,,,1351NCONE SIZE,6,
kitsch-set-flow-active-headband-chocolate-brown,Title,Default Title,,,,,506487,28,
kitsch-set-flow-active-headband-heather-gray,Title,Default Title,,,,,506470,28,
kitsch-set-flow-active-heatless-curling-headband-terracotta,Title,Default Title,,,,,510194,24,
kitsch-spa-headband-and-wristlets-3pc-set-terracotta-24,Title,Default Title,,,,,513102,15,
kitsch-x-bridgerton-satin-pillow-scrunchies,Title,Default Title,,,,,63627No ColorOS,20,
kitsch-x-sunbum-scrunchies-3pc-set,Title,Default Title,,,,,03493NCOS,8,
kitschpop-charms-in-vintage-black,Title,Default Title,,,,,510590,14,
kitschpop-charms-in-vintage-emerald,Title,Default Title,,,,,510606,14,
kitschpop-charms-in-vintage-ivory,Title,Default Title,,,,,509082,14,
kitschpop-charms-in-vintage-pink,Title,Default Title,,,,,509099,14,
kitschpop-cloud-clip-7pc-set-coastal-cottage-butter-yellow,Title,Default Title,,,,,509402,20,
kitschpop-cloud-clip-charms-in-pearlized-cream,Title,Default Title,,,,,509129,20,
kitschpop-cloud-clip-charms-in-vintage-black,Title,Default Title,,,,,509167,20,
kitschpop-coastal-cottage-collection-6pc-set,Title,Default Title,,,,,509488,14,
kitschpop-curved-claw-clip-7pc-set-vintage-black,Title,Default Title,,,,,509174,20,
kitschpop-curved-claw-clip-charms-in-pearlized-cream,Title,Default Title,,,,,509136,20,
kitschpop-paddle-brush-haze-blue,Title,Default Title,,,,,511207,22,
kitschpop-paddle-brush-soft-violet,Title,Default Title,,,,,511214,22,
kitschpop-paddle-brush-terracotta,Title,Default Title,,,,,508344,22,
kitschpro-eco-friendly-dermaplaner-terracotta,Title,Default Title,,,,,5540NCOS,15,
kitschpro-u-pins-brown,Title,Default Title,,,,,5281NCOS,8,
kojic-acid-face-and-body-bar,Title,Default Title,,,,,66185NCOS,18,
kojic-acid-face-body-cleansing-pads,Title,Default Title,,,,,507682,23,
large-loop-claw-clips-2pc,Title,Default Title,,,,,6561NCOS,9,
large-moisturizing-heel-socks-terracotta-checker,Title,Default Title,,,,,516158,9.99,
lisa-frank-x-kitsch-cloud-clip-in-angel-kitty,Title,Default Title,,,,,503462,12,
lisa-frank-x-kitsch-cloud-clip-in-markie,Title,Default Title,,,,,503479,12,
lisa-frank-x-kitsch-dancing-dreams-body-wash-bar,Title,Default Title,,,,,503547,12,
lisa-frank-x-kitsch-glitter-claw-clip-in-dancing-dolphins,Title,Default Title,,,,,503592,14,
lisa-frank-x-kitsch-glitter-claw-clip-in-zoomer-zorbit,Title,Default Title,,,,,503608,14,
lisa-frank-x-kitsch-king-satin-pillowcase-rainbow-leopard,Title,Default Title,,,,,503417,28,
lisa-frank-x-kitsch-pillow-scrunchies-in-satin-in-the-fantastic-world-of-lisa-frank,Title,Default Title,,,,,503509,20,
lisa-frank-x-kitsch-ruched-satin-scrunchies-in-rainbow-leopard,Title,Default Title,,,,,503486,11,
