handle,product_gid,status,variant_gid,variant_title,sku,live_price,live_compare_at
harry-potter-x-kitsch-satin-pillowcase-standard-gryffindor,gid://shopify/Product/7929411567797,ACTIVE,gid://shopify/ProductVariant/44341135245493,Default Title,66611No ColorOS,22,22
harry-potter-x-kitsch-satin-pillowcase-standard-hufflepuff,gid://shopify/Product/7929413730485,ACTIVE,gid://shopify/ProductVariant/44341141536949,Default Title,66628No ColorOS,22,22
harry-potter-x-kitsch-satin-pillowcase-standard-ravenclaw,gid://shopify/Product/7929415467189,ACTIVE,gid://shopify/ProductVariant/44341145665717,Default Title,66635No ColorOS,22,22
harry-potter-x-kitsch-satin-pillowcase-standard-slytherin,gid://shopify/Product/7929416777909,ACTIVE,gid://shopify/ProductVariant/44341151236277,Default Title,66642No ColorOS,22,22
harry-potter-x-kitsch-satin-wrapped-hair-towel-gryffindor,gid://shopify/Product/7929428312245,ACTIVE,gid://shopify/ProductVariant/44341180793013,Default Title,66710No ColorOS,29,29
harry-potter-x-kitsch-satin-wrapped-hair-towel-hufflepuff,gid://shopify/Product/7929436307637,ACTIVE,gid://shopify/ProductVariant/44341197275317,Default Title,66727No ColorOS,29,29
harry-potter-x-kitsch-satin-wrapped-hair-towel-ravenclaw,gid://shopify/Product/7929452986549,ACTIVE,gid://shopify/ProductVariant/44341246001333,Default Title,66734No ColorOS,29,29
harry-potter-x-kitsch-satin-wrapped-hair-towel-slytherin,gid://shopify/Product/7929454100661,ACTIVE,gid://shopify/ProductVariant/44341250523317,Default Title,66741No ColorOS,29,29
scalp-oil-applicator,gid://shopify/Product/7956297089205,ACTIVE,gid://shopify/ProductVariant/44417594097845,Default Title,67830No ColorOS,15,15
exfoliating-glove-2pc-black-terracotta,gid://shopify/Product/7973025579189,ACTIVE,gid://shopify/ProductVariant/44487777517749,Default Title,66574No ColorOS,16,16
heat-protectant-styling-mist,gid://shopify/Product/7986033852597,ACTIVE,gid://shopify/ProductVariant/44524282806453,Default Title,69452No ColorOS,19,19
recycled-plastic-mini-cloud-claw-clips-6pc-set-black-and-tort,gid://shopify/Product/7990256369845,ACTIVE,gid://shopify/ProductVariant/44567302701237,Default Title,66215No ColorOS,10,10
coconut-oil-deep-moisturizing-solid-conditioner-bar,gid://shopify/Product/7992341692597,DRAFT,gid://shopify/ProductVariant/44539392229557,Default Title,,14,14
black-seamless-hair-elastics-8pc-set,gid://shopify/Product/8009572679861,ACTIVE,gid://shopify/ProductVariant/44596498268341,Default Title,68899No ColorOS,8,8
rosewood-seamless-hair-elastics-8pc-set,gid://shopify/Product/8009576153269,ACTIVE,gid://shopify/ProductVariant/44596502921397,Default Title,69292No ColorOS,8,8
garden-bouquet-seamless-hair-elastics-8pc-set,gid://shopify/Product/8009670688949,ACTIVE,gid://shopify/ProductVariant/44596631863477,Default Title,68905No ColorOS,8,8
blue-orchid-cloud-claw-clip-medium,gid://shopify/Product/8009708765365,ACTIVE,gid://shopify/ProductVariant/44596689436853,Default Title,68875No ColorOS,8,8
hydrangea-breeze-cloud-claw-clip-medium,gid://shopify/Product/8009711222965,ACTIVE,gid://shopify/ProductVariant/44596691927221,Default Title,68912No ColorOS,8,8
garden-bouquet-cloud-claw-clips-8pc-set-mini,gid://shopify/Product/8009716203701,ACTIVE,gid://shopify/ProductVariant/44596700348597,Default Title,69209No ColorOS,10,10
blue-orchid-chiffon-bow-hair-clip,gid://shopify/Product/8009722953909,ACTIVE,gid://shopify/ProductVariant/44596707164341,Default Title,69346No ColorOS,10,10
garden-bouquet-cloud-gem-bobby-pins-8pc-set,gid://shopify/Product/8009738289333,ACTIVE,gid://shopify/ProductVariant/44596722598069,Default Title,69445No ColorOS,10,10
garden-bouquet-cloud-scrunchies-3pc-set,gid://shopify/Product/8009750479029,ACTIVE,gid://shopify/ProductVariant/44596738031797,Default Title,68882No ColorOS,12,12
texturizing-sea-salt-spray,gid://shopify/Product/8021527298229,ACTIVE,gid://shopify/ProductVariant/44623600058549,Default Title,69551No ColorOS,18,18
sheer-violet-hair-perfume,gid://shopify/Product/8022084878517,ACTIVE,gid://shopify/ProductVariant/44624967532725,Default Title,69421No ColorOS,20,20
warm-sugar-hair-perfume,gid://shopify/Product/8022086385845,ACTIVE,gid://shopify/ProductVariant/44624969040053,Default Title,69841No ColorOS,20,20
pistachio-latte-hair-perfume,gid://shopify/Product/8022087499957,ACTIVE,gid://shopify/ProductVariant/44624970186933,Default Title,69865No ColorOS,20,20
amber-shores-hair-perfume,gid://shopify/Product/8022088384693,ACTIVE,gid://shopify/ProductVariant/44624971169973,Default Title,69858No ColorOS,20,20
all-dressed-up-rhinestone-bobby-pins-4pc-set,gid://shopify/Product/8033156464821,ACTIVE,gid://shopify/ProductVariant/44651106402485,Default Title,64662No ColorOS,10,10
repairing-argan-oil-shampoo-bar,gid://shopify/Product/8033261093045,ACTIVE,gid://shopify/ProductVariant/44651496046773,Default Title,69605NCOS,16,16
repairing-argan-oil-conditioner-bar,gid://shopify/Product/8033262469301,ACTIVE,gid://shopify/ProductVariant/44651499782325,Default Title,69612NCOS,16,16
mini-scalp-hair-oil-sampler,gid://shopify/Product/8033416773813,ACTIVE,gid://shopify/ProductVariant/44651939659957,Default Title,67823No ColorOS,11,11
hair-by-chrissy-x-kitsch-ceramic-thermal-rollers-8pc-set,gid://shopify/Product/8038808191157,ACTIVE,gid://shopify/ProductVariant/44680301641909,Default Title,500331No ColorOS,18,18
rosewood-wide-twist-headbands-2pc-set,gid://shopify/Product/8040146075829,ACTIVE,gid://shopify/ProductVariant/44687416918197,Default Title,68950No ColorOS,12,12
garden-bouquet-wide-twist-headbands-2pc-set,gid://shopify/Product/8040146501813,ACTIVE,gid://shopify/ProductVariant/44687420129461,Default Title,69360No ColorOS,12,12
dermaplaning-oil,gid://shopify/Product/8040163803317,ACTIVE,gid://shopify/ProductVariant/44687512273077,Default Title,500591No ColorOS,19,19
tort-flat-cloud-clip-large,gid://shopify/Product/8050706579637,ACTIVE,gid://shopify/ProductVariant/44728555700405,Default Title,69032No ColorOS,10,10
tort-flat-cloud-clip-medium,gid://shopify/Product/8050727387317,ACTIVE,gid://shopify/ProductVariant/44728633163957,Default Title,69049No ColorOS,9,9
tort-flat-cloud-clip-small,gid://shopify/Product/8050727813301,ACTIVE,gid://shopify/ProductVariant/44728635883701,Default Title,69100No ColorOS,8,8
blue-orchid-flat-cloud-clip-large,gid://shopify/Product/8050731352245,ACTIVE,gid://shopify/ProductVariant/44728656494773,Default Title,69018No ColorOS,10,10
hydrangea-breeze-flat-cloud-clip-medium,gid://shopify/Product/8050731483317,ACTIVE,gid://shopify/ProductVariant/44728656986293,Default Title,69025No ColorOS,9,9
sage-leaf-flat-cloud-clip-small,gid://shopify/Product/8050733023413,ACTIVE,gid://shopify/ProductVariant/44728659345589,Default Title,69001No ColorOS,8,8
sedona-active-headbands-3pc-set,gid://shopify/Product/8050734432437,ACTIVE,gid://shopify/ProductVariant/44728661835957,Default Title,501611No ColorOS,10,10
rosewood-active-headbands-3pc-set,gid://shopify/Product/8050734792885,ACTIVE,gid://shopify/ProductVariant/44728662130869,Default Title,501628No ColorOS,10,10
garden-bouquet-active-headbands-3pc-set,gid://shopify/Product/8050735349941,ACTIVE,gid://shopify/ProductVariant/44728664359093,Default Title,501635No ColorOS,10,10
garden-bouquet-ruched-satin-scrunchies-5pc-set,gid://shopify/Product/8050736300213,ACTIVE,gid://shopify/ProductVariant/44728670290101,Default Title,501598No ColorOS,10,10
sedona-cloud-scrunchies-3pc-set,gid://shopify/Product/8050737676469,ACTIVE,gid://shopify/ProductVariant/44728676876469,Default Title,501604No ColorOS,12,12
sedona-cloud-claw-clips-8pc-set-mini,gid://shopify/Product/8050743705781,ACTIVE,gid://shopify/ProductVariant/44728704204981,Default Title,501581No ColorOS,10,10
sedona-metal-cloud-pins-snap-clips-8pc-set,gid://shopify/Product/8050747375797,ACTIVE,gid://shopify/ProductVariant/44728739725493,Default Title,501574No ColorOS,10,10
adjustable-oversized-satin-bonnet-blush,gid://shopify/Product/8050750292149,ACTIVE,gid://shopify/ProductVariant/44728752472245,Default Title,69919No ColorOS,22,22
adjustable-oversized-satin-bonnet-charcoal,gid://shopify/Product/8050750390453,ACTIVE,gid://shopify/ProductVariant/44728753029301,Default Title,69926No ColorOS,22,22
adjustable-oversized-satin-bonnet-aura,gid://shopify/Product/8050750521525,ACTIVE,gid://shopify/ProductVariant/44728753160373,Default Title,69933No ColorOS,22,22
adjustable-oversized-satin-bonnet-haze-blue,gid://shopify/Product/8050750619829,ACTIVE,gid://shopify/ProductVariant/44728753324213,Default Title,69940No ColorOS,22,22
